2025-03-01 14:37:25,107 - Virtual Machine 3 initialized
2025-03-01 14:37:25,107 - Clock Rate: 1 ticks/second
2025-03-01 14:37:25,107 - Listening on port: 10002
2025-03-01 14:37:25,107 - Peer ports: [10000, 10001]
2025-03-01 14:37:25,109 - Network initialization completed
2025-03-01 14:37:25,109 - Starting main event loop
2025-03-01 14:37:25,109 - Clock rate: 1 ticks/second
2025-03-01 14:37:25,109 - INTERNAL - System Time: 2025-03-01 14:37:25.109902, Logical Clock: 1
2025-03-01 14:37:25,276 - Accepted connection from ('127.0.0.1', 59583)
2025-03-01 14:37:25,623 - Accepted connection from ('127.0.0.1', 59585)
2025-03-01 14:38:07,260 - RECEIVE - System Time: 2025-03-01 14:38:07.260147, Logical Clock: 111, Queue Length: 3, From: Machine 1
2025-03-01 14:38:08,262 - RECEIVE - System Time: 2025-03-01 14:38:08.262154, Logical Clock: 121, Queue Length: 3, From: Machine 2
2025-03-01 14:38:09,262 - RECEIVE - System Time: 2025-03-01 14:38:09.262702, Logical Clock: 122, Queue Length: 3, From: Machine 1
2025-03-01 14:38:10,268 - RECEIVE - System Time: 2025-03-01 14:38:10.268148, Logical Clock: 123, Queue Length: 3, From: Machine 1
2025-03-01 14:38:11,271 - RECEIVE - System Time: 2025-03-01 14:38:11.271263, Logical Clock: 127, Queue Length: 2, From: Machine 1
2025-03-01 14:38:12,276 - RECEIVE - System Time: 2025-03-01 14:38:12.276408, Logical Clock: 130, Queue Length: 2, From: Machine 1
2025-03-01 14:38:13,279 - RECEIVE - System Time: 2025-03-01 14:38:13.279151, Logical Clock: 134, Queue Length: 2, From: Machine 2
2025-03-01 14:38:14,284 - RECEIVE - System Time: 2025-03-01 14:38:14.284406, Logical Clock: 141, Queue Length: 3, From: Machine 2
2025-03-01 14:38:15,285 - RECEIVE - System Time: 2025-03-01 14:38:15.285123, Logical Clock: 144, Queue Length: 2, From: Machine 1
2025-03-01 14:38:16,288 - RECEIVE - System Time: 2025-03-01 14:38:16.288262, Logical Clock: 147, Queue Length: 1, From: Machine 2
2025-03-01 14:38:17,293 - RECEIVE - System Time: 2025-03-01 14:38:17.293371, Logical Clock: 148, Queue Length: 2, From: Machine 1
2025-03-01 14:38:18,295 - RECEIVE - System Time: 2025-03-01 14:38:18.295003, Logical Clock: 155, Queue Length: 2, From: Machine 2
2025-03-01 14:38:19,296 - RECEIVE - System Time: 2025-03-01 14:38:19.296788, Logical Clock: 156, Queue Length: 3, From: Machine 2
2025-03-01 14:38:20,298 - RECEIVE - System Time: 2025-03-01 14:38:20.298776, Logical Clock: 158, Queue Length: 3, From: Machine 2
2025-03-01 14:38:21,304 - RECEIVE - System Time: 2025-03-01 14:38:21.304119, Logical Clock: 161, Queue Length: 3, From: Machine 2
2025-03-01 14:38:22,307 - RECEIVE - System Time: 2025-03-01 14:38:22.307256, Logical Clock: 163, Queue Length: 3, From: Machine 2
2025-03-01 14:38:23,310 - RECEIVE - System Time: 2025-03-01 14:38:23.310256, Logical Clock: 164, Queue Length: 2, From: Machine 1
2025-03-01 14:38:24,312 - RECEIVE - System Time: 2025-03-01 14:38:24.312725, Logical Clock: 168, Queue Length: 3, From: Machine 1
