2025-03-04 09:59:43,315 - Virtual Machine 2 initialized
2025-03-04 09:59:43,315 - Clock Rate: 1 ticks/second
2025-03-04 09:59:43,316 - Listening on port: 10001
2025-03-04 09:59:43,316 - Peer ports: [10000, 10002]
2025-03-04 09:59:43,317 - Connected to peer on port 10000
2025-03-04 09:59:43,809 - Accepted connection from ('127.0.0.1', 56377)
2025-03-04 09:59:43,820 - Accepted connection from ('127.0.0.1', 56380)
2025-03-04 09:59:44,324 - Connected to peer on port 10002
2025-03-04 09:59:44,325 - Network initialization completed
2025-03-04 09:59:44,325 - Starting main event loop
2025-03-04 09:59:44,325 - Clock rate: 1 ticks/second
2025-03-04 10:00:24,495 - RECEIVE - System Time: 2025-03-04 10:00:24.495717, Logical Clock: 157, Queue Length: 14, From: Machine 1
2025-03-04 10:00:25,496 - RECEIVE - System Time: 2025-03-04 10:00:25.496595, Logical Clock: 163, Queue Length: 14, From: Machine 1
2025-03-04 10:00:26,498 - RECEIVE - System Time: 2025-03-04 10:00:26.498748, Logical Clock: 174, Queue Length: 13, From: Machine 1
2025-03-04 10:00:27,503 - RECEIVE - System Time: 2025-03-04 10:00:27.503191, Logical Clock: 175, Queue Length: 13, From: Machine 1
2025-03-04 10:00:28,509 - RECEIVE - System Time: 2025-03-04 10:00:28.509439, Logical Clock: 178, Queue Length: 14, From: Machine 1
2025-03-04 10:00:29,514 - RECEIVE - System Time: 2025-03-04 10:00:29.514747, Logical Clock: 179, Queue Length: 13, From: Machine 1
2025-03-04 10:00:30,521 - RECEIVE - System Time: 2025-03-04 10:00:30.520756, Logical Clock: 182, Queue Length: 12, From: Machine 1
2025-03-04 10:00:31,526 - RECEIVE - System Time: 2025-03-04 10:00:31.526189, Logical Clock: 185, Queue Length: 12, From: Machine 1
2025-03-04 10:00:32,529 - RECEIVE - System Time: 2025-03-04 10:00:32.529634, Logical Clock: 196, Queue Length: 11, From: Machine 1
2025-03-04 10:00:33,532 - RECEIVE - System Time: 2025-03-04 10:00:33.532602, Logical Clock: 203, Queue Length: 11, From: Machine 1
2025-03-04 10:00:34,537 - RECEIVE - System Time: 2025-03-04 10:00:34.537475, Logical Clock: 208, Queue Length: 12, From: Machine 1
2025-03-04 10:00:35,539 - RECEIVE - System Time: 2025-03-04 10:00:35.539593, Logical Clock: 220, Queue Length: 12, From: Machine 1
2025-03-04 10:00:36,541 - RECEIVE - System Time: 2025-03-04 10:00:36.540878, Logical Clock: 223, Queue Length: 12, From: Machine 1
2025-03-04 10:00:37,544 - RECEIVE - System Time: 2025-03-04 10:00:37.543778, Logical Clock: 227, Queue Length: 11, From: Machine 1
2025-03-04 10:00:38,549 - RECEIVE - System Time: 2025-03-04 10:00:38.549168, Logical Clock: 232, Queue Length: 10, From: Machine 1
2025-03-04 10:00:39,552 - RECEIVE - System Time: 2025-03-04 10:00:39.552333, Logical Clock: 235, Queue Length: 11, From: Machine 1
2025-03-04 10:00:40,556 - RECEIVE - System Time: 2025-03-04 10:00:40.556217, Logical Clock: 251, Queue Length: 10, From: Machine 1
2025-03-04 10:00:41,558 - RECEIVE - System Time: 2025-03-04 10:00:41.557975, Logical Clock: 253, Queue Length: 9, From: Machine 1
2025-03-04 10:00:42,561 - RECEIVE - System Time: 2025-03-04 10:00:42.561636, Logical Clock: 256, Queue Length: 9, From: Machine 1
2025-03-04 10:00:43,565 - RECEIVE - System Time: 2025-03-04 10:00:43.565648, Logical Clock: 273, Queue Length: 9, From: Machine 1
