2025-03-04 12:06:44,038 - Virtual Machine 2 initialized
2025-03-04 12:06:44,039 - Clock Rate: 1 ticks/second
2025-03-04 12:06:44,039 - Listening on port: 10001
2025-03-04 12:06:44,039 - Peer ports: [10000, 10002]
2025-03-04 12:06:44,040 - Connected to peer on port 10000
2025-03-04 12:06:44,495 - Accepted connection from ('127.0.0.1', 60035)
2025-03-04 12:06:44,744 - Accepted connection from ('127.0.0.1', 60038)
2025-03-04 12:06:45,051 - Connected to peer on port 10002
2025-03-04 12:06:45,051 - Network initialization completed
2025-03-04 12:06:45,051 - Starting main event loop
2025-03-04 12:06:45,052 - Clock rate: 1 ticks/second
2025-03-04 12:07:25,235 - RECEIVE - System Time: 2025-03-04 12:07:25.235127, Logical Clock: 230, Queue Length: 2, From: Machine 1
2025-03-04 12:07:26,243 - RECEIVE - System Time: 2025-03-04 12:07:26.243848, Logical Clock: 231, Queue Length: 4, From: Machine 1
2025-03-04 12:07:27,246 - RECEIVE - System Time: 2025-03-04 12:07:27.246537, Logical Clock: 235, Queue Length: 4, From: Machine 1
2025-03-04 12:07:28,249 - RECEIVE - System Time: 2025-03-04 12:07:28.248859, Logical Clock: 241, Queue Length: 5, From: Machine 1
2025-03-04 12:07:29,249 - RECEIVE - System Time: 2025-03-04 12:07:29.249755, Logical Clock: 248, Queue Length: 6, From: Machine 3
2025-03-04 12:07:30,250 - RECEIVE - System Time: 2025-03-04 12:07:30.250818, Logical Clock: 249, Queue Length: 8, From: Machine 1
2025-03-04 12:07:31,256 - RECEIVE - System Time: 2025-03-04 12:07:31.256056, Logical Clock: 250, Queue Length: 8, From: Machine 1
2025-03-04 12:07:32,258 - RECEIVE - System Time: 2025-03-04 12:07:32.258129, Logical Clock: 260, Queue Length: 8, From: Machine 3
2025-03-04 12:07:33,259 - RECEIVE - System Time: 2025-03-04 12:07:33.259866, Logical Clock: 261, Queue Length: 9, From: Machine 1
2025-03-04 12:07:34,263 - RECEIVE - System Time: 2025-03-04 12:07:34.263420, Logical Clock: 263, Queue Length: 9, From: Machine 3
2025-03-04 12:07:35,265 - RECEIVE - System Time: 2025-03-04 12:07:35.265006, Logical Clock: 264, Queue Length: 11, From: Machine 1
2025-03-04 12:07:36,270 - RECEIVE - System Time: 2025-03-04 12:07:36.270030, Logical Clock: 267, Queue Length: 10, From: Machine 1
2025-03-04 12:07:37,272 - RECEIVE - System Time: 2025-03-04 12:07:37.272108, Logical Clock: 268, Queue Length: 9, From: Machine 1
2025-03-04 12:07:38,277 - RECEIVE - System Time: 2025-03-04 12:07:38.277762, Logical Clock: 273, Queue Length: 8, From: Machine 3
2025-03-04 12:07:39,283 - RECEIVE - System Time: 2025-03-04 12:07:39.283030, Logical Clock: 275, Queue Length: 8, From: Machine 3
2025-03-04 12:07:40,289 - RECEIVE - System Time: 2025-03-04 12:07:40.289486, Logical Clock: 277, Queue Length: 7, From: Machine 1
2025-03-04 12:07:41,295 - RECEIVE - System Time: 2025-03-04 12:07:41.295468, Logical Clock: 286, Queue Length: 7, From: Machine 3
2025-03-04 12:07:42,297 - RECEIVE - System Time: 2025-03-04 12:07:42.297449, Logical Clock: 290, Queue Length: 7, From: Machine 3
2025-03-04 12:07:43,302 - RECEIVE - System Time: 2025-03-04 12:07:43.302828, Logical Clock: 295, Queue Length: 8, From: Machine 1
2025-03-04 12:07:44,308 - RECEIVE - System Time: 2025-03-04 12:07:44.308423, Logical Clock: 299, Queue Length: 9, From: Machine 1
