2025-03-04 10:28:08,325 - Virtual Machine 3 initialized
2025-03-04 10:28:08,325 - Clock Rate: 1 ticks/second
2025-03-04 10:28:08,325 - Listening on port: 10002
2025-03-04 10:28:08,325 - Peer ports: [10000, 10001]
2025-03-04 10:28:08,326 - Connected to peer on port 10000
2025-03-04 10:28:08,326 - Connected to peer on port 10001
2025-03-04 10:28:08,326 - Network initialization completed
2025-03-04 10:28:08,326 - Starting main event loop
2025-03-04 10:28:08,326 - Clock rate: 1 ticks/second
2025-03-04 10:28:08,327 - INTERNAL - System Time: 2025-03-04 10:28:08.327013, Logical Clock: 1
2025-03-04 10:28:08,640 - Accepted connection from ('127.0.0.1', 61620)
2025-03-04 10:28:48,490 - RECEIVE - System Time: 2025-03-04 10:28:48.490229, Logical Clock: 122, Queue Length: 30, From: Machine 1
2025-03-04 10:28:49,492 - RECEIVE - System Time: 2025-03-04 10:28:49.492023, Logical Clock: 123, Queue Length: 29, From: Machine 1
2025-03-04 10:28:50,493 - RECEIVE - System Time: 2025-03-04 10:28:50.493553, Logical Clock: 131, Queue Length: 30, From: Machine 2
2025-03-04 10:28:51,500 - RECEIVE - System Time: 2025-03-04 10:28:51.500014, Logical Clock: 135, Queue Length: 31, From: Machine 1
2025-03-04 10:28:52,502 - RECEIVE - System Time: 2025-03-04 10:28:52.501956, Logical Clock: 137, Queue Length: 31, From: Machine 1
2025-03-04 10:28:53,507 - RECEIVE - System Time: 2025-03-04 10:28:53.507371, Logical Clock: 138, Queue Length: 30, From: Machine 2
2025-03-04 10:28:54,512 - RECEIVE - System Time: 2025-03-04 10:28:54.512479, Logical Clock: 145, Queue Length: 30, From: Machine 1
2025-03-04 10:28:55,518 - RECEIVE - System Time: 2025-03-04 10:28:55.518196, Logical Clock: 147, Queue Length: 31, From: Machine 2
2025-03-04 10:28:56,521 - RECEIVE - System Time: 2025-03-04 10:28:56.521489, Logical Clock: 152, Queue Length: 31, From: Machine 2
2025-03-04 10:28:57,527 - RECEIVE - System Time: 2025-03-04 10:28:57.526920, Logical Clock: 156, Queue Length: 30, From: Machine 1
2025-03-04 10:28:58,531 - RECEIVE - System Time: 2025-03-04 10:28:58.531263, Logical Clock: 162, Queue Length: 30, From: Machine 1
2025-03-04 10:28:59,533 - RECEIVE - System Time: 2025-03-04 10:28:59.533289, Logical Clock: 163, Queue Length: 30, From: Machine 2
2025-03-04 10:29:00,538 - RECEIVE - System Time: 2025-03-04 10:29:00.538468, Logical Clock: 177, Queue Length: 30, From: Machine 2
2025-03-04 10:29:01,541 - RECEIVE - System Time: 2025-03-04 10:29:01.541735, Logical Clock: 181, Queue Length: 31, From: Machine 1
2025-03-04 10:29:02,544 - RECEIVE - System Time: 2025-03-04 10:29:02.544325, Logical Clock: 182, Queue Length: 32, From: Machine 1
2025-03-04 10:29:03,561 - RECEIVE - System Time: 2025-03-04 10:29:03.561155, Logical Clock: 189, Queue Length: 32, From: Machine 1
2025-03-04 10:29:04,563 - RECEIVE - System Time: 2025-03-04 10:29:04.563347, Logical Clock: 196, Queue Length: 34, From: Machine 2
2025-03-04 10:29:05,564 - RECEIVE - System Time: 2025-03-04 10:29:05.564478, Logical Clock: 198, Queue Length: 37, From: Machine 2
2025-03-04 10:29:06,570 - RECEIVE - System Time: 2025-03-04 10:29:06.570268, Logical Clock: 206, Queue Length: 38, From: Machine 1
2025-03-04 10:29:07,575 - RECEIVE - System Time: 2025-03-04 10:29:07.575597, Logical Clock: 207, Queue Length: 40, From: Machine 2
