2025-03-04 10:29:09,558 - Virtual Machine 1 initialized
2025-03-04 10:29:09,558 - Clock Rate: 1 ticks/second
2025-03-04 10:29:09,558 - Listening on port: 10000
2025-03-04 10:29:09,558 - Peer ports: [10001, 10002]
2025-03-04 10:29:09,918 - Accepted connection from ('127.0.0.1', 61771)
2025-03-04 10:29:10,391 - Accepted connection from ('127.0.0.1', 61774)
2025-03-04 10:29:10,566 - Connected to peer on port 10001
2025-03-04 10:29:10,567 - Connected to peer on port 10002
2025-03-04 10:29:10,567 - Network initialization completed
2025-03-04 10:29:10,567 - Starting main event loop
2025-03-04 10:29:10,567 - Clock rate: 1 ticks/second
2025-03-04 10:29:10,567 - RECEIVE - System Time: 2025-03-04 10:29:10.567613, Logical Clock: 2, Queue Length: 0, From: Machine 3
2025-03-04 10:29:11,569 - RECEIVE - System Time: 2025-03-04 10:29:11.569215, Logical Clock: 3, Queue Length: 1, From: Machine 2
2025-03-04 10:29:12,573 - RECEIVE - System Time: 2025-03-04 10:29:12.572427, Logical Clock: 4, Queue Length: 1, From: Machine 2
2025-03-04 10:29:13,584 - RECEIVE - System Time: 2025-03-04 10:29:13.584225, Logical Clock: 6, Queue Length: 1, From: Machine 2
2025-03-04 10:29:14,589 - RECEIVE - System Time: 2025-03-04 10:29:14.589589, Logical Clock: 9, Queue Length: 1, From: Machine 3
2025-03-04 10:29:15,592 - RECEIVE - System Time: 2025-03-04 10:29:15.592696, Logical Clock: 13, Queue Length: 1, From: Machine 3
2025-03-04 10:29:16,596 - RECEIVE - System Time: 2025-03-04 10:29:16.596704, Logical Clock: 18, Queue Length: 1, From: Machine 3
2025-03-04 10:29:17,601 - RECEIVE - System Time: 2025-03-04 10:29:17.601420, Logical Clock: 25, Queue Length: 2, From: Machine 2
2025-03-04 10:29:18,606 - RECEIVE - System Time: 2025-03-04 10:29:18.606479, Logical Clock: 27, Queue Length: 3, From: Machine 2
2025-03-04 10:29:19,609 - RECEIVE - System Time: 2025-03-04 10:29:19.609616, Logical Clock: 29, Queue Length: 3, From: Machine 2
2025-03-04 10:29:20,614 - RECEIVE - System Time: 2025-03-04 10:29:20.614731, Logical Clock: 30, Queue Length: 3, From: Machine 2
2025-03-04 10:29:21,619 - RECEIVE - System Time: 2025-03-04 10:29:21.619162, Logical Clock: 31, Queue Length: 2, From: Machine 2
2025-03-04 10:29:22,622 - RECEIVE - System Time: 2025-03-04 10:29:22.622728, Logical Clock: 33, Queue Length: 2, From: Machine 3
2025-03-04 10:29:23,623 - RECEIVE - System Time: 2025-03-04 10:29:23.623836, Logical Clock: 41, Queue Length: 3, From: Machine 2
2025-03-04 10:29:24,629 - RECEIVE - System Time: 2025-03-04 10:29:24.629143, Logical Clock: 47, Queue Length: 4, From: Machine 2
2025-03-04 10:29:25,631 - RECEIVE - System Time: 2025-03-04 10:29:25.631045, Logical Clock: 49, Queue Length: 4, From: Machine 2
2025-03-04 10:29:26,636 - RECEIVE - System Time: 2025-03-04 10:29:26.636481, Logical Clock: 51, Queue Length: 4, From: Machine 2
2025-03-04 10:29:27,639 - RECEIVE - System Time: 2025-03-04 10:29:27.639702, Logical Clock: 53, Queue Length: 5, From: Machine 2
2025-03-04 10:29:28,645 - RECEIVE - System Time: 2025-03-04 10:29:28.644983, Logical Clock: 56, Queue Length: 5, From: Machine 2
2025-03-04 10:29:29,650 - RECEIVE - System Time: 2025-03-04 10:29:29.650278, Logical Clock: 58, Queue Length: 5, From: Machine 3
2025-03-04 10:29:30,653 - RECEIVE - System Time: 2025-03-04 10:29:30.653799, Logical Clock: 64, Queue Length: 5, From: Machine 2
2025-03-04 10:29:31,655 - RECEIVE - System Time: 2025-03-04 10:29:31.655552, Logical Clock: 65, Queue Length: 5, From: Machine 2
2025-03-04 10:29:32,657 - RECEIVE - System Time: 2025-03-04 10:29:32.656821, Logical Clock: 67, Queue Length: 7, From: Machine 3
2025-03-04 10:29:33,660 - RECEIVE - System Time: 2025-03-04 10:29:33.660562, Logical Clock: 72, Queue Length: 6, From: Machine 2
2025-03-04 10:29:34,666 - RECEIVE - System Time: 2025-03-04 10:29:34.666003, Logical Clock: 73, Queue Length: 6, From: Machine 2
