2025-03-04 10:27:06,002 - Virtual Machine 3 initialized
2025-03-04 10:27:06,002 - Clock Rate: 1 ticks/second
2025-03-04 10:27:06,002 - Listening on port: 10002
2025-03-04 10:27:06,002 - Peer ports: [10000, 10001]
2025-03-04 10:27:06,003 - Connected to peer on port 10000
2025-03-04 10:27:06,003 - Connected to peer on port 10001
2025-03-04 10:27:06,003 - Network initialization completed
2025-03-04 10:27:06,003 - Starting main event loop
2025-03-04 10:27:06,003 - Clock rate: 1 ticks/second
2025-03-04 10:27:06,004 - INTERNAL - System Time: 2025-03-04 10:27:06.004019, Logical Clock: 1
2025-03-04 10:27:06,010 - Accepted connection from ('127.0.0.1', 61426)
2025-03-04 10:27:06,490 - Accepted connection from ('127.0.0.1', 61427)
2025-03-04 10:27:46,181 - RECEIVE - System Time: 2025-03-04 10:27:46.181609, Logical Clock: 201, Queue Length: 7, From: Machine 1
2025-03-04 10:27:47,187 - RECEIVE - System Time: 2025-03-04 10:27:47.187149, Logical Clock: 203, Queue Length: 10, From: Machine 1
2025-03-04 10:27:48,192 - RECEIVE - System Time: 2025-03-04 10:27:48.192125, Logical Clock: 204, Queue Length: 11, From: Machine 1
2025-03-04 10:27:49,197 - RECEIVE - System Time: 2025-03-04 10:27:49.197319, Logical Clock: 207, Queue Length: 11, From: Machine 1
2025-03-04 10:27:50,202 - RECEIVE - System Time: 2025-03-04 10:27:50.202086, Logical Clock: 214, Queue Length: 11, From: Machine 1
2025-03-04 10:27:51,203 - RECEIVE - System Time: 2025-03-04 10:27:51.203392, Logical Clock: 216, Queue Length: 13, From: Machine 2
2025-03-04 10:27:52,209 - RECEIVE - System Time: 2025-03-04 10:27:52.209271, Logical Clock: 228, Queue Length: 13, From: Machine 1
2025-03-04 10:27:53,216 - RECEIVE - System Time: 2025-03-04 10:27:53.215431, Logical Clock: 230, Queue Length: 13, From: Machine 1
2025-03-04 10:27:54,220 - RECEIVE - System Time: 2025-03-04 10:27:54.220440, Logical Clock: 238, Queue Length: 16, From: Machine 1
2025-03-04 10:27:55,222 - RECEIVE - System Time: 2025-03-04 10:27:55.222749, Logical Clock: 239, Queue Length: 16, From: Machine 1
2025-03-04 10:27:56,227 - RECEIVE - System Time: 2025-03-04 10:27:56.227349, Logical Clock: 242, Queue Length: 17, From: Machine 1
2025-03-04 10:27:57,233 - RECEIVE - System Time: 2025-03-04 10:27:57.233200, Logical Clock: 243, Queue Length: 17, From: Machine 1
2025-03-04 10:27:58,237 - RECEIVE - System Time: 2025-03-04 10:27:58.237838, Logical Clock: 244, Queue Length: 18, From: Machine 2
2025-03-04 10:27:59,243 - RECEIVE - System Time: 2025-03-04 10:27:59.243194, Logical Clock: 245, Queue Length: 20, From: Machine 1
2025-03-04 10:28:00,246 - RECEIVE - System Time: 2025-03-04 10:28:00.245555, Logical Clock: 255, Queue Length: 19, From: Machine 1
2025-03-04 10:28:01,250 - RECEIVE - System Time: 2025-03-04 10:28:01.250716, Logical Clock: 260, Queue Length: 19, From: Machine 1
2025-03-04 10:28:02,256 - RECEIVE - System Time: 2025-03-04 10:28:02.256309, Logical Clock: 264, Queue Length: 19, From: Machine 1
2025-03-04 10:28:03,258 - RECEIVE - System Time: 2025-03-04 10:28:03.258120, Logical Clock: 265, Queue Length: 19, From: Machine 2
2025-03-04 10:28:04,264 - RECEIVE - System Time: 2025-03-04 10:28:04.263798, Logical Clock: 266, Queue Length: 19, From: Machine 1
2025-03-04 10:28:05,270 - RECEIVE - System Time: 2025-03-04 10:28:05.270345, Logical Clock: 268, Queue Length: 19, From: Machine 1
